id|iata|icao|name|city|subd|countryCode|elevation|lat|lon
A00189|YFX|CCK4|St. Lewis (Fox Harbour) Airport|St. Lewis|Newfoundland and Labrador|CAN|74.0|52.3727989197|-55.6739006042
A00190|YHA|CCP4|Port Hope Simpson Airport|Port Hope Simpson|Newfoundland and Labrador|CAN|347.0|52.5280990601|-56.2860984802
A00191|YRG|CCZ2|Rigolet Airport|Rigolet|Newfoundland and Labrador|CAN|180.0|54.1796989441|-58.4575004578
A00192|DVK|CDK2|Diavik Airport|Diavik|Northwest Territories|CAN|1413.0|64.5113983154|-110.289001465
A00193|YCK|CEB3|Colville Lake Airport|Colville Lake|Northwest Territories|CAN|850.0|67.0333023071|-126.0830001831
A00194|YLE|CEM3|Whati Airport|Whati|Northwest Territories|CAN|882.0|63.1316986084|-117.2460021973
A00195|NML|CER4|Fort McMurray / Mildred Lake Airport|Fort McMurray|Alberta|CAN|1046.0|57.0555992126|-111.573997498
A00196|DAS|CFF4|Great Bear Lake Airport|Great Bear Lake|Northwest Territories|CAN|562.0|66.7031021118|-119.707000732
A00197|YFI|CFG6|Fort Mackay / Firebag|Suncor Energy Site|Alberta|CAN|1762.0|57.2758333344|-110.976666667
A00198|SUR|CJV7|Summer Beaver Airport|Summer Beaver|Ontario|CAN|832.0|52.7085990906|-88.5419006348
A00199|YAX|CKB6|Wapekeka Airport|Angling Lake|Ontario|CAN|712.0|53.8492012024|-89.5793991089
A00200|WNN|CKL3|Wunnumin Lake Airport|Wunnumin Lake|Ontario|CAN|819.0|52.893901825|-89.2891998291
A00201|YNO|CKQ3|North Spirit Lake Airport|North Spirit Lake|Ontario|CAN|1082.0|52.4900016785|-92.9710998535
A00202|XBE|CNE3|Bearskin Lake Airport|Bearskin Lake|Ontario|CAN|800.0|53.9655990601|-91.0271987915
A00203|KIF|CNM5|Kingfisher Lake Airport|Kingfisher Lake|Ontario|CAN|866.0|53.0125007629|-89.8553009033
A00204|YOG|CNT3|Ogoki Post Airport|Ogoki Post|Ontario|CAN|594.0|51.6585998535|-85.9017028809
A00205|YEB|CPF2|Bar River Airport|Bar River|Ontario|CAN|591.0|46.42029953|-84.0922012329
A00206|YHP|CPV7|Poplar Hill Airport|Poplar Hill|Ontario|CAN|1095.0|52.1133003235|-94.2555999756
A00207|YNX|CSK6|Snap Lake Airport|Snap Lake|Northwest Territories|CAN|1557.0|63.5936012268|-110.90599823
A00208|YKU|CSU2|Chisasibi Airport|Chisasibi|Quebec|CAN|43.0|53.8055992126|-78.9169006348
A00209|ZTB|CTB6|Tete-a-la-Baleine Airport|Tete-a-la-Baleine|Quebec|CAN|107.0|50.6744003296|-59.3835983276
A00210|YAU|CTP9|Donaldson Airport|Kattiniq|Quebec|CAN|1902.0|61.6622009277|-73.3214035034
A00211|ZLT|CTU5|La Tabatiere Airport|La Tabatiere|Quebec|CAN|102.0|50.8307991028|-58.9756011963
A00212|YAB|CYAB|Arctic Bay Airport||Nunavut|CAN|72.0|73.0057668174|-85.0425052643
A00213|YAC|CYAC|Cat Lake Airport|Cat Lake|Ontario|CAN|1344.0|51.7271995544|-91.8244018555
A00214|YAR|CYAD|La Grande-3 Airport|La Grande-3|Quebec|CAN|775.0|53.5717010498|-76.1964035034
A00215|YAG|CYAG|Fort Frances Municipal Airport|Fort Frances|Ontario|CAN|1125.0|48.6542015076|-93.4396972656
A00216|YAH|CYAH|La Grande-4 Airport|La Grande-4|Quebec|CAN|1005.0|53.754699707|-73.6753005981
A00217|YAL|CYAL|Alert Bay Airport|Alert Bay|British Columbia|CAN|240.0|50.5821990967|-126.9160003662
A00218|YAM|CYAM|Sault Ste Marie Airport|Sault Ste Marie|Ontario|CAN|630.0|46.4850006104|-84.5093994141
A00219|XKS|CYAQ|Kasabonika Airport|Kasabonika|Ontario|CAN|672.0|53.5247001648|-88.6427993774
A00220|YKG|CYAS|Kangirsuk Airport|Kangirsuk|Quebec|CAN|403.0|60.0271987915|-69.9991989136
A00221|YAT|CYAT|Attawapiskat Airport|Attawapiskat|Ontario|CAN|31.0|52.9275016785|-82.4319000244
A00222|YAY|CYAY|St. Anthony Airport|St. Anthony|Newfoundland and Labrador|CAN|108.0|51.3918991089|-56.0830993652
A00223|YAZ|CYAZ|Tofino / Long Beach Airport|Tofino|British Columbia|CAN|80.0|49.0798255464|-125.775604248
A00224|YBA|CYBA|Banff Airport|Banff|Alberta|CAN|4583.0|51.2073404699|-115.541861057
A00225|YBB|CYBB|Kugaaruk Airport|Kugaaruk|Nunavut|CAN|56.0|68.5344009399|-89.8080978394
A00226|YBC|CYBC|Baie Comeau Airport|Baie-Comeau|Quebec|CAN|71.0|49.1324996948|-68.2043991089
A00227|QBC|CYBD|Bella Coola Airport|Bella Coola|British Columbia|CAN|117.0|52.3875007629|-126.5960006714
A00228|YBE|CYBE|Uranium City Airport|Uranium City|Saskatchewan|CAN|1044.0|59.5614013672|-108.4810028076
A00229|YBY|CYBF|Bonnyville Airport|Bonnyville|Alberta|CAN|1836.0|54.3041992188|-110.7440032959
A00230|YBG|CYBG|CFB Bagotville|Bagotville|Quebec|CAN|522.0|48.3306007385|-70.9963989258
A00231|YBK|CYBK|Baker Lake Airport|Baker Lake|Nunavut|CAN|59.0|64.2988967896|-96.077796936
A00232|YBL|CYBL|Campbell River Airport|Campbell River|British Columbia|CAN|346.0|49.9508018494|-125.2710037231
A00233|XTL|CYBQ|Tadoule Lake Airport|Tadoule Lake|Manitoba|CAN|923.0|58.7061004639|-98.5121994019
A00234|YBR|CYBR|Brandon Municipal Airport|Brandon|Manitoba|CAN|1343.0|49.9099998474|-99.9518966675
A00235|YBT|CYBT|Brochet Airport|Brochet|Manitoba|CAN|1136.0|57.8894004822|-101.6790008545
A00236|YBV|CYBV|Berens River Airport|Berens River|Manitoba|CAN|728.0|52.3588981628|-97.0183029175
A00237|YBX|CYBX|Lourdes de Blanc Sablon Airport|Lourdes-De-Blanc-Sablon|Quebec|CAN|121.0|51.4435997009|-57.1852989197
A00238|YRF|CYCA|Cartwright Airport|Cartwright|Newfoundland and Labrador|CAN|40.0|53.682800293|-57.0419006348
A00239|YCB|CYCB|Cambridge Bay Airport|Cambridge Bay|Nunavut|CAN|90.0|69.1081008911|-105.138000488
A00240|YCC|CYCC|Cornwall Regional Airport|Cornwall|Quebec|CAN|175.0|45.0928001404|-74.5633010864
A00241|YCD|CYCD|Nanaimo Airport|Nanaimo|British Columbia|CAN|93.0|49.0522994995|-123.8700027466
A00242|YCE|CYCE|James T. Field Memorial Aerodrome|Centralia|Ontario|CAN|824.0|43.2855987549|-81.5083007813
